References,gal_name,gal_ra_deg,gal_dec_deg,gal_vlsr_km/s,qso_hsla_name,qso_ra_deg,qso_dec_deg,impact_para_kpc,impact_para_err,qso_hsla_snr,qso_snr_stis,gal_z,gal_dmpc,d_err,d_ref,logM*,logM*_err,M*_ref,logM200m,logM200m_err,M200m_ref,logM200c,logM200c_err,M200c_ref,logMHI,logMHI_err,MHI_ref,logSFR_flg,logSFR(Msun/yr),logSFR_err,SFR_ref,R200m_kpc,R200m_err,R200c_kpc,R200c_err,Wr_flg_HI,Wr_HI,eWr_HI,logN_flg_HI,logN_HI,elogN_HI,Wr_flg_SiII,Wr_SiII,eWr_SiII,logN_flg_SiII,logN_SiII,elogN_SiII,Wr_flg_SiIII,Wr_SiIII,eWr_SiIII,logN_flg_SiIII,logN_SiIII,elogN_SiIII,Wr_flg_SiIV,Wr_SiIV,eWr_SiIV,logN_flg_SiIV,logN_SiIV,elogN_SiIV,Wr_flg_CII,Wr_CII,eWr_CII,logN_flg_CII,logN_CII,elogN_CII,Wr_flg_CIV,Wr_CIV,eWr_CIV,logN_flg_CIV,logN_CIV,elogN_CIV,Wr_flg_OVI,Wr_OVI,eWr_OVI,logN_flg_OVI,logN_OVI,elogN_OVI
NewObs/Archived,DDO190,216.1812,44.5258,161.98,2MASXJ14292507+4518318,217.3545,45.3089,56.6,0.8,11.6,nan,nan,2.84,0.04,J09,7.65,0.06,Dale09+d_ref,10.57,0.03,M21,10.42,0.03,M21,7.65,0.01,SI02_d_ref,=,-2.43,0.02,"FUV, Lee11",104.2,2.4,62.7,1.4,,nan,nan,,nan,nan,<=(1sig),10.8,nan,<=(1sig),11.82,nan,<=(1sig),11.3,nan,<=(1sig),11.74,nan,<=(1sig),14.5,nan,<=(1sig),12.23,nan,,nan,nan,,nan,nan,<=(1sig),21.1,nan,<=(1sig),12.73,nan,,nan,nan,,nan,nan
NewObs/Archived,UGC08638,204.8308,24.7758,285.36,SDSS-J133833.06+251640.6,204.6378,25.278,39.8,0.6,10.8,nan,nan,4.29,0.06,T16,7.69,0.06,Dale09+d_ref,10.59,0.03,M21,10.44,0.03,M21,7.27,0.01,H18+d_ref,=,-2.46,0.02,"FUV, Lee11",105.9,2.5,63.7,1.5,,nan,nan,,nan,nan,<=(1sig),9.7,nan,<=(1sig),11.77,nan,<=(1sig),15.3,nan,<=(1sig),11.87,nan,<=(1sig),19.8,nan,<=(1sig),12.34,nan,,nan,nan,,nan,nan,<=(1sig),20.8,nan,<=(1sig),12.73,nan,,nan,nan,,nan,nan
NewObs/Archived,NGC4163,183.0371,36.1694,167.74,SDSSJ121114.56+365739.5,182.811,36.961,40.8,0.6,9.7,nan,nan,2.88,0.04,D09,7.71,0.06,Dale09+d_ref,10.6,0.03,M21,10.45,0.03,M21,7.22,0.01,H18+d_ref,=,-2.64,0.02,"FUV, Lee11",106.6,2.5,64.2,1.4,,nan,nan,,nan,nan,<=(1sig),13.3,nan,<=(1sig),11.9,nan,<=(1sig),10.4,nan,<=(1sig),11.71,nan,<=(1sig),10.1,nan,<=(1sig),12.07,nan,,nan,nan,,nan,nan,<=(1sig),19.6,nan,<=(1sig),12.68,nan,,nan,nan,,nan,nan
Johnson+2017,D9,231.0971,9.9828,nan,PG-1522+101,231.1024,9.9749,84.0,nan,12.8,nan,0.1391,nan,nan,,7.73,nan,Johnson+2017(Kroupa IMF),10.610000000000001,nan,M21,10.46,nan,M21,nan,nan,,,nan,nan,,107.5,nan,64.7,nan,=,60.0,10.0,=,13.04,0.07,<=(1sig),10.0,nan,<=(1sig),11.78,nan,<=(1sig),5.0,nan,<=(1sig),11.38,nan,<=(1sig),20.0,nan,<=(1sig),12.36,nan,,nan,nan,,nan,nan,<=(1sig),10.0,nan,<=(1sig),12.39,nan,=,50.0,10.0,=,13.6,0.09
Liang&Chen2014,SDSSJ124623.33+481406.6,191.5972,48.2352,nan,SDSSJ123335.07+475800.4,188.396,47.9669,481.7,nan,10.2,nan,0.003,nan,nan,,7.73,nan,Liang+2014(Kroupa IMF),10.610000000000001,nan,M21,10.46,nan,M21,nan,nan,,,-1.19,nan,Liang+2014,107.5,nan,64.7,nan,=,226.0,12.0,=,13.62,0.02,<=(1sig),7.0,nan,<=(1sig),11.63,nan,<=(1sig),10.0,nan,<=(1sig),11.68,nan,<=(1sig),10.5,nan,<=(1sig),12.08,nan,,nan,nan,,nan,nan,<=(1sig),15.5,nan,<=(1sig),12.59,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ092155.18+453404.3,140.4799,45.5679,nan,SDSSJ092554.43+453544.4,141.4768,45.5956,489.8,nan,12.0,nan,0.0095,nan,nan,,7.73,nan,Liang+2014(Kroupa IMF),10.610000000000001,nan,M21,10.46,nan,M21,nan,nan,,,-1.66,nan,Liang+2014,107.5,nan,64.7,nan,=,220.0,14.0,=,13.61,0.03,<=(1sig),5.0,nan,<=(1sig),11.48,nan,,nan,nan,,nan,nan,<=(1sig),9.0,nan,<=(1sig),12.01,nan,,nan,nan,,nan,nan,<=(1sig),10.0,nan,<=(1sig),12.39,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ162152.54+332903.2,245.4689,33.4842,nan,SDSSJ161916.54+334238.4,244.8189,33.7107,391.6,nan,11.4,nan,0.009,nan,nan,,7.73,nan,Liang+2014(Kroupa IMF),10.610000000000001,nan,M21,10.46,nan,M21,nan,nan,,,-1.8,nan,Liang+2014,107.5,nan,64.7,nan,=,565.0,13.0,=,14.02,0.01,<=(1sig),5.0,nan,<=(1sig),11.48,nan,,nan,nan,,nan,nan,<=(1sig),8.5,nan,<=(1sig),11.98,nan,<=(1sig),10.0,nan,<=(1sig),12.7,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ084555.38+413118.0,131.4808,41.5217,nan,SDSSJ084349.49+411741.6,130.9562,41.2949,311.0,nan,4.2,nan,0.0093,nan,nan,,7.73,nan,Liang+2014(Kroupa IMF),10.610000000000001,nan,M21,10.46,nan,M21,nan,nan,,,-1.62,nan,Liang+2014,107.5,nan,64.7,nan,=,343.0,28.0,=,13.8,0.04,<=(1sig),13.0,nan,<=(1sig),11.89,nan,<=(1sig),32.0,nan,<=(1sig),12.18,nan,,nan,nan,,nan,nan,<=(1sig),25.0,nan,<=(1sig),13.09,nan,<=(1sig),26.5,nan,<=(1sig),12.82,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ111811.27+262309.4,169.547,26.386,nan,SDSSJ111754.31+263416.6,169.4763,26.5713,135.8,nan,7.9,nan,0.0094,nan,nan,,7.83,nan,Liang+2014(Kroupa IMF),10.66,nan,M21,10.51,nan,M21,nan,nan,,,-1.28,nan,Liang+2014,111.7,nan,67.2,nan,<=(1sig),15.0,nan,<=(1sig),12.44,nan,<=(1sig),7.5,nan,<=(1sig),11.66,nan,<=(1sig),14.5,nan,<=(1sig),11.84,nan,<=(1sig),10.5,nan,<=(1sig),12.08,nan,<=(1sig),12.5,nan,<=(1sig),12.79,nan,<=(1sig),25.5,nan,<=(1sig),12.8,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXJ145739.38+263953.5,224.4143,26.6647,nan,SDSSJ145108.76+270926.9,222.7866,27.1574,485.0,nan,8.5,nan,0.0043,nan,nan,,7.83,nan,Liang+2014(Kroupa IMF),10.66,nan,M21,10.51,nan,M21,nan,nan,,,-1.52,nan,Liang+2014,111.7,nan,67.2,nan,<=(1sig),17.5,nan,<=(1sig),12.51,nan,<=(1sig),6.5,nan,<=(1sig),11.59,nan,<=(1sig),14.0,nan,<=(1sig),11.82,nan,,nan,nan,,nan,nan,<=(1sig),12.0,nan,<=(1sig),12.77,nan,<=(1sig),11.5,nan,<=(1sig),12.46,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ113343.02+334037.9,173.4293,33.6772,nan,TON580,172.7895,31.2349,498.9,nan,20.4,nan,0.0027,nan,nan,,7.83,nan,Liang+2014(Kroupa IMF),10.66,nan,M21,10.51,nan,M21,nan,nan,,,-2.19,nan,Liang+2014,111.7,nan,67.2,nan,<=(1sig),9.0,nan,<=(1sig),12.22,nan,<=(1sig),3.0,nan,<=(1sig),11.26,nan,<=(1sig),5.0,nan,<=(1sig),11.38,nan,<=(1sig),6.0,nan,<=(1sig),11.83,nan,<=(1sig),4.5,nan,<=(1sig),12.35,nan,<=(1sig),5.0,nan,<=(1sig),12.09,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ120731.10+255336.1,181.8796,25.8934,nan,SDSSJ120720.99+262429.1,181.8375,26.4081,411.2,nan,6.7,nan,0.0108,nan,nan,,7.83,nan,Liang+2014(Kroupa IMF),10.66,nan,M21,10.51,nan,M21,nan,nan,,,-1.73,nan,Liang+2014,111.7,nan,67.2,nan,=,365.0,30.0,=,13.83,0.04,<=(1sig),9.0,nan,<=(1sig),11.73,nan,<=(1sig),14.0,nan,<=(1sig),11.82,nan,<=(1sig),13.0,nan,<=(1sig),12.17,nan,<=(1sig),15.0,nan,<=(1sig),12.87,nan,<=(1sig),23.5,nan,<=(1sig),12.77,nan,,nan,nan,,nan,nan
NewObs/Archived,UGC07485,186.0925,21.16,963.85,PG1222+216,186.2269,21.3795,35.0,nan,19.1,nan,nan,7.94,nan,K13,7.89,nan,K13+d_ref,10.69,0.0,M21,10.54,0.0,M21,7.12,nan,H18+d_ref,=,-2.72,nan,"FUV, K13_c",114.3,0.0,68.8,0.0,,nan,nan,,nan,nan,<=(1sig),8.2,nan,<=(1sig),11.72,nan,<=(1sig),10.4,nan,<=(1sig),11.68,nan,,nan,nan,,nan,nan,<=(1sig),9.1,nan,<=(1sig),12.65,nan,<=(1sig),8.1,nan,<=(1sig),12.3,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ110512.74+250352.3,166.3031,25.0646,nan,SDSSJ105958.82+251708.8,164.9951,25.2858,438.4,nan,7.9,nan,0.0049,nan,nan,,7.93,nan,Liang+2014(Kroupa IMF),10.71,nan,M21,10.56,nan,M21,nan,nan,,,-1.93,nan,Liang+2014,116.1,nan,69.8,nan,<=(1sig),15.5,nan,<=(1sig),12.45,nan,<=(1sig),7.0,nan,<=(1sig),11.63,nan,<=(1sig),12.0,nan,<=(1sig),11.76,nan,<=(1sig),12.0,nan,<=(1sig),12.13,nan,,nan,nan,,nan,nan,<=(1sig),12.5,nan,<=(1sig),12.49,nan,,nan,nan,,nan,nan
Johnson+2017,D1,98.9358,-75.2717,nan,PKS0637-752,98.9438,-75.2713,16.0,nan,24.8,nan,0.1229,nan,nan,,7.93,nan,Johnson+2017(Kroupa IMF),10.71,nan,M21,10.56,nan,M21,nan,nan,,,nan,nan,,116.1,nan,69.8,nan,=,690.0,10.0,=,15.7,0.4,<=(1sig),10.0,nan,<=(1sig),11.78,nan,=,130.0,10.0,=,13.14,0.03,,nan,nan,,nan,nan,,nan,nan,,nan,nan,=,130.0,10.0,=,13.73,0.04,=,120.0,10.0,=,14.1,0.03
Liang&Chen2014,SDSSJ125926.77+591734.9,194.8615,59.2931,nan,PG1259+593,195.3039,59.0352,241.8,nan,35.5,7.0,0.0095,nan,nan,,7.93,nan,Liang+2014(Kroupa IMF),10.71,nan,M21,10.56,nan,M21,nan,nan,,,nan,nan,Liang+2014,116.1,nan,69.8,nan,,nan,nan,,nan,nan,<=(1sig),4.5,nan,<=(1sig),11.43,nan,<=(1sig),11.5,nan,<=(1sig),11.74,nan,<=(1sig),6.5,nan,<=(1sig),11.87,nan,<=(1sig),7.0,nan,<=(1sig),12.54,nan,<=(1sig),9.5,nan,<=(1sig),12.37,nan,,nan,nan,,nan,nan
Zheng+2020b,IC1613,16.1992,2.1333,-236.39,2MASX J01022632-0039045,15.6097,-0.6513,37.7,1.1,8.0,nan,nan,0.76,0.02,T16,8.0,0.09,M12_rescaled,10.75,0.05,M21,10.6,0.05,M21,7.66,0.02,H18+d_ref,=,-2.23,0.03,"FUV, Lee11",119.7,4.8,72.1,2.7,,nan,nan,,nan,nan,=,562.13,38.83,=,13.53,0.03,=,299.4,17.5,=,13.38,0.06,=,84.0,15.1,=,13.02,0.07,=,390.7,13.7,=,14.52,0.04,=,205.7,22.4,=,13.78,0.05,,nan,nan,,nan,nan
Zheng+2020b,IC1613,16.1992,2.1333,-236.39,LBQS-0107-0235,17.5547,-2.3314,61.8,1.8,10.8,nan,nan,0.76,0.02,T16,8.0,0.09,M12_rescaled,10.75,0.05,M21,10.6,0.05,M21,7.66,0.02,H18+d_ref,=,-2.23,0.03,"FUV, Lee11",119.7,4.8,72.1,2.7,,nan,nan,,nan,nan,=,331.01,53.35,=,13.3,0.07,=,105.1,15.4,=,12.77,0.06,<=(1sig),14.200000000000001,nan,<=(1sig),12.322878745280338,nan,=,71.3,14.0,=,13.6,0.08,=,221.5,10.7,=,13.91,0.04,,nan,nan,,nan,nan
Zheng+2020b,IC1613,16.1992,2.1333,-236.39,HB89-0107-025-NED05,17.5677,-2.3142,61.7,1.7,11.4,nan,nan,0.76,0.02,T16,8.0,0.09,M12_rescaled,10.75,0.05,M21,10.6,0.05,M21,7.66,0.02,H18+d_ref,=,-2.23,0.03,"FUV, Lee11",119.7,4.8,72.1,2.7,,nan,nan,,nan,nan,<=(1sig),60.63,nan,<=(1sig),12.562878745280337,nan,=,100.7,14.0,=,12.76,0.06,<=(1sig),11.4,nan,<=(1sig),12.542878745280337,nan,<=(1sig),9.9,nan,<=(1sig),12.902878745280338,nan,=,121.5,15.9,=,13.56,0.06,,nan,nan,,nan,nan
Zheng+2020b,IC1613,16.1992,2.1333,-236.39,PG 0044+030,11.7746,3.3319,60.7,1.7,7.6,nan,nan,0.76,0.02,T16,8.0,0.09,M12_rescaled,10.75,0.05,M21,10.6,0.05,M21,7.66,0.02,H18+d_ref,=,-2.23,0.03,"FUV, Lee11",119.7,4.8,72.1,2.7,,nan,nan,,nan,nan,=,338.72,77.99,=,13.31,0.1,=,318.9,27.6,=,13.39,0.07,<=(1sig),22.900000000000002,nan,<=(1sig),12.522878745280337,nan,=,116.7,15.8,=,13.89,0.09,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Zheng+2020b,IC1613,16.1992,2.1333,-236.39,LBQS-0101+0009,15.9281,0.427,22.9,0.6,7.5,nan,nan,0.76,0.02,T16,8.0,0.09,M12_rescaled,10.75,0.05,M21,10.6,0.05,M21,7.66,0.02,H18+d_ref,=,-2.23,0.03,"FUV, Lee11",119.7,4.8,72.1,2.7,,nan,nan,,nan,nan,=,256.94,35.5,=,13.19,0.06,=,271.3,23.1,=,13.3,0.05,<=(1sig),11.700000000000001,nan,<=(1sig),12.312878745280337,nan,=,189.9,14.8,=,14.21,0.05,=,144.4,23.2,=,13.64,0.07,,nan,nan,,nan,nan
Zheng+2020b,IC1613,16.1992,2.1333,-236.39,LBQS-0100+0205,15.8041,2.3528,6.0,0.2,7.6,nan,nan,0.76,0.02,T16,8.0,0.09,M12_rescaled,10.75,0.05,M21,10.6,0.05,M21,7.66,0.02,H18+d_ref,=,-2.23,0.03,"FUV, Lee11",119.7,4.8,72.1,2.7,,nan,nan,,nan,nan,<=(1sig),59.25,nan,<=(1sig),12.552878745280337,nan,=,126.2,16.6,=,12.96,0.06,=,65.6,13.2,=,13.0,0.07,<=(1sig),16.3,nan,<=(1sig),13.262878745280338,nan,=,117.3,27.5,=,13.57,0.09,,nan,nan,,nan,nan
Bordoloi+2014,316_200,164.8985,14.7355,nan,SDSSJ105945.23+144142.9,164.9385,14.6953,41.0,nan,9.1,nan,0.01,nan,nan,,8.02,nan,Bordoloi14(Kroupa IMF),10.76,nan,M21,10.61,nan,M21,nan,nan,,=,-0.9,nan,Bordoloi+2014,120.6,nan,72.5,nan,>,385.6,17.4,>,14.23,0.04,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),16.0,nan,<=(1sig),12.76,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ025938.43+003939.3,44.9102,0.6609,nan,SDSSJ025937.46+003736.3,44.9061,0.6268,77.0,nan,6.6,nan,0.0311,nan,nan,,8.03,nan,Liang+2014(Kroupa IMF),10.77,nan,M21,10.62,nan,M21,nan,nan,,,-1.53,nan,Liang+2014,121.5,nan,73.1,nan,=,196.0,12.0,=,13.56,0.03,<=(1sig),14.0,nan,<=(1sig),11.93,nan,<=(1sig),10.5,nan,<=(1sig),11.7,nan,<=(1sig),12.5,nan,<=(1sig),12.15,nan,<=(1sig),15.5,nan,<=(1sig),12.89,nan,<=(1sig),15.5,nan,<=(1sig),12.59,nan,,nan,nan,,nan,nan
Johnson+2017,D10,238.9487,11.1889,nan,1ES1553+113,238.9292,11.19,155.0,nan,34.9,nan,0.1234,nan,nan,,8.03,nan,Johnson+2017(Kroupa IMF),10.77,nan,M21,10.62,nan,M21,nan,nan,,,nan,nan,,121.5,nan,73.1,nan,=,70.0,10.0,=,13.11,0.06,<=(1sig),5.0,nan,<=(1sig),11.48,nan,<=(1sig),5.0,nan,<=(1sig),11.38,nan,<=(1sig),10.0,nan,<=(1sig),12.05,nan,,nan,nan,,nan,nan,<=(1sig),10.0,nan,<=(1sig),12.39,nan,<=(1sig),5.0,nan,<=(1sig),12.6,nan
NewObs/Archived,NGC5477,211.3879,54.4608,323.08,SDSSJ140732.25+550725.6,211.8844,55.1237,85.3,3.9,11.6,nan,nan,6.76,0.31,T16,8.08,0.07,Dale09+d_ref,10.790000000000001,0.04,M21,10.64,0.04,M21,8.6,0.04,K13_m21+d_ref,=,-1.71,0.05,"FUV, Lee11",123.5,3.8,74.2,2.3,,nan,nan,,nan,nan,<=(1sig),8.8,nan,<=(1sig),11.73,nan,<=(1sig),9.5,nan,<=(1sig),11.68,nan,<=(1sig),13.2,nan,<=(1sig),12.17,nan,<=(1sig),11.5,nan,<=(1sig),12.77,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Bordoloi+2014,184_526,222.7742,27.0118,nan,SDSSJ145108.76+270926.9,222.786,27.1575,135.0,nan,8.5,nan,0.013,nan,nan,,8.12,nan,Bordoloi14(Kroupa IMF),10.81,nan,M21,10.66,nan,M21,nan,nan,,=,-1.5,nan,Bordoloi+2014,125.3,nan,75.4,nan,=,152.4,24.0,=,13.56,0.06,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),18.0,nan,<=(1sig),12.79,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ111349.83+213115.7,168.4576,21.521,nan,PG1116+215,169.7862,21.3217,439.4,nan,45.0,10.0,0.0047,nan,nan,,8.13,nan,Liang+2014(Kroupa IMF),10.82,nan,M21,10.67,nan,M21,nan,nan,,,nan,nan,Liang+2014,126.3,nan,76.0,nan,=,106.0,7.0,=,13.29,0.03,,nan,nan,,nan,nan,<=(1sig),1.5,nan,<=(1sig),10.85,nan,<=(1sig),4.0,nan,<=(1sig),11.66,nan,<=(1sig),3.5,nan,<=(1sig),12.24,nan,<=(1sig),4.0,nan,<=(1sig),12.0,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ100408.72+063037.7,151.0364,6.5105,nan,SDSSJ100902.06+071343.8,152.2586,7.2289,438.3,nan,5.0,nan,0.0042,nan,nan,,8.13,nan,Liang+2014(Kroupa IMF),10.82,nan,M21,10.67,nan,M21,nan,nan,,,-1.42,nan,Liang+2014,126.3,nan,76.0,nan,,nan,nan,,nan,nan,<=(1sig),9.0,nan,<=(1sig),11.73,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),17.0,nan,<=(1sig),12.93,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ134158.58-010046.7,205.4959,-1.0134,nan,SDSSJ134251.60-005345.3,205.715,-0.8959,492.6,nan,10.3,nan,0.0274,nan,nan,,8.13,nan,Liang+2014(Kroupa IMF),10.82,nan,M21,10.67,nan,M21,nan,nan,,,-1.01,nan,Liang+2014,126.3,nan,76.0,nan,<=(1sig),16.0,nan,<=(1sig),12.47,nan,<=(1sig),9.5,nan,<=(1sig),11.76,nan,<=(1sig),7.5,nan,<=(1sig),11.55,nan,<=(1sig),14.5,nan,<=(1sig),12.22,nan,<=(1sig),10.5,nan,<=(1sig),12.72,nan,<=(1sig),18.0,nan,<=(1sig),12.65,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ081915.38+224214.1,124.8141,22.7039,nan,SDSSJ082024.21+233450.4,125.1009,23.5807,480.7,nan,7.9,nan,0.0071,nan,nan,,8.13,nan,Liang+2014(Kroupa IMF),10.82,nan,M21,10.67,nan,M21,nan,nan,,,-2.14,nan,Liang+2014,126.3,nan,76.0,nan,<=(1sig),15.0,nan,<=(1sig),12.44,nan,<=(1sig),7.5,nan,<=(1sig),11.66,nan,,nan,nan,,nan,nan,<=(1sig),11.5,nan,<=(1sig),12.12,nan,<=(1sig),13.0,nan,<=(1sig),12.81,nan,<=(1sig),16.0,nan,<=(1sig),12.6,nan,,nan,nan,,nan,nan
Johnson+2017,D2,98.9404,-75.2731,nan,PKS0637-752,98.9438,-75.2713,21.0,nan,24.8,nan,0.1613,nan,nan,,8.13,nan,Johnson+2017(Kroupa IMF),10.82,nan,M21,10.67,nan,M21,nan,nan,,,nan,nan,,126.3,nan,76.0,nan,=,770.0,100.0,=,15.06,0.02,<=(1sig),5.0,nan,<=(1sig),11.48,nan,=,70.0,10.0,=,12.48,0.05,<=(1sig),10.0,nan,<=(1sig),12.05,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,=,130.0,10.0,=,14.17,0.02
Johnson+2017,D11,151.3842,1.5625,nan,SDSS-J100535.24+013445.7,151.3969,1.5793,168.0,nan,10.5,nan,0.1245,nan,nan,,8.13,nan,Johnson+2017(Kroupa IMF),10.82,nan,M21,10.67,nan,M21,nan,nan,,,nan,nan,,126.3,nan,76.0,nan,=,60.0,10.0,=,13.04,0.07,<=(1sig),15.0,nan,<=(1sig),11.96,nan,<=(1sig),10.0,nan,<=(1sig),11.68,nan,<=(1sig),10.0,nan,<=(1sig),12.05,nan,,nan,nan,,nan,nan,<=(1sig),15.0,nan,<=(1sig),12.57,nan,<=(1sig),15.0,nan,<=(1sig),13.08,nan
Liang&Chen2014,SDSSJ030004.11+003730.6,45.0172,0.6252,nan,SDSSJ025937.46+003736.3,44.9061,0.6268,225.8,nan,6.6,nan,0.0281,nan,nan,,8.23,nan,Liang+2014(Kroupa IMF),10.870000000000001,nan,M21,10.72,nan,M21,nan,nan,,,-1.5,nan,Liang+2014,131.2,nan,78.9,nan,,nan,nan,,nan,nan,<=(1sig),13.5,nan,<=(1sig),11.91,nan,<=(1sig),8.5,nan,<=(1sig),11.61,nan,<=(1sig),16.5,nan,<=(1sig),12.27,nan,<=(1sig),18.0,nan,<=(1sig),12.95,nan,<=(1sig),15.5,nan,<=(1sig),12.59,nan,,nan,nan,,nan,nan
Johnson+2017,D15,231.1121,9.9586,nan,PG-1522+101,231.1024,9.9749,222.0,nan,12.8,nan,0.1981,nan,nan,,8.23,nan,Johnson+2017(Kroupa IMF),10.870000000000001,nan,M21,10.72,nan,M21,nan,nan,,,nan,nan,,131.2,nan,78.9,nan,=,100.0,20.0,=,13.26,0.09,<=(1sig),5.0,nan,<=(1sig),11.48,nan,,nan,nan,,nan,nan,<=(1sig),20.0,nan,<=(1sig),12.36,nan,,nan,nan,,nan,nan,<=(1sig),60.0,nan,<=(1sig),13.17,nan,<=(1sig),5.0,nan,<=(1sig),12.6,nan
Liang&Chen2014,SDSSJ100806.93+022042.2,152.0289,2.3451,nan,SDSSJ100535.24+013445.7,151.3968,1.5794,482.4,nan,10.5,nan,0.0066,nan,nan,,8.23,nan,Liang+2014(Kroupa IMF),10.870000000000001,nan,M21,10.72,nan,M21,nan,nan,,,nan,nan,Liang+2014,131.2,nan,78.9,nan,<=(1sig),13.5,nan,<=(1sig),12.39,nan,<=(1sig),6.5,nan,<=(1sig),11.59,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),9.0,nan,<=(1sig),12.65,nan,<=(1sig),9.0,nan,<=(1sig),12.35,nan,,nan,nan,,nan,nan
Johnson+2017,D4,151.0096,28.92,nan,PG1001+291,151.0108,28.9264,56.0,nan,20.3,nan,0.138,nan,nan,,8.23,nan,Johnson+2017(Kroupa IMF),10.870000000000001,nan,M21,10.72,nan,M21,nan,nan,,,nan,nan,,131.2,nan,78.9,nan,=,690.0,10.0,=,14.1,0.01,<=(1sig),5.0,nan,<=(1sig),11.48,nan,,nan,nan,,nan,nan,<=(1sig),15.0,nan,<=(1sig),12.23,nan,,nan,nan,,nan,nan,<=(1sig),20.0,nan,<=(1sig),12.7,nan,=,110.0,10.0,=,13.94,0.04
Liang&Chen2014,2dFGRSN280Z163,220.4619,-1.3925,nan,LBQS1435-0134,219.4512,-1.7863,486.0,nan,12.0,nan,0.006,nan,nan,,8.23,nan,Liang+2014(Kroupa IMF),10.870000000000001,nan,M21,10.72,nan,M21,nan,nan,,,nan,nan,Liang+2014,131.2,nan,78.9,nan,=,58.0,7.0,=,13.03,0.05,<=(1sig),2.5,nan,<=(1sig),11.18,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),4.5,nan,<=(1sig),12.05,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ123209.67-010543.0,188.0411,-1.0951,nan,SDSSJ123304.05-003134.1,188.2669,-0.5262,362.5,nan,11.0,nan,0.008,nan,nan,,8.23,nan,Liang+2014(Kroupa IMF),10.870000000000001,nan,M21,10.72,nan,M21,nan,nan,,,-1.9,nan,Liang+2014,131.2,nan,78.9,nan,=,257.0,24.0,=,13.67,0.04,<=(1sig),7.5,nan,<=(1sig),11.66,nan,,nan,nan,,nan,nan,<=(1sig),12.0,nan,<=(1sig),12.13,nan,<=(1sig),13.0,nan,<=(1sig),12.81,nan,<=(1sig),22.5,nan,<=(1sig),12.75,nan,,nan,nan,,nan,nan
Johnson+2017,D14,38.7812,-4.0528,nan,HB89-0232-042,38.7808,-4.0349,199.0,nan,11.8,nan,0.1815,nan,nan,,8.23,nan,Johnson+2017(Kroupa IMF),10.870000000000001,nan,M21,10.72,nan,M21,nan,nan,,,nan,nan,,131.2,nan,78.9,nan,=,230.0,10.0,=,13.63,0.02,<=(1sig),5.0,nan,<=(1sig),11.48,nan,<=(1sig),5.0,nan,<=(1sig),11.38,nan,<=(1sig),10.0,nan,<=(1sig),12.05,nan,,nan,nan,,nan,nan,<=(1sig),50.0,nan,<=(1sig),13.09,nan,<=(1sig),10.0,nan,<=(1sig),12.9,nan
Liang&Chen2014,SDSSJ094409.09+055612.7,146.0379,5.9369,nan,SDSSJ094331.61+053131.4,145.8817,5.5254,328.2,nan,4.8,nan,0.0101,nan,nan,,8.23,nan,Liang+2014(Kroupa IMF),10.870000000000001,nan,M21,10.72,nan,M21,nan,nan,,,-1.78,nan,Liang+2014,131.2,nan,78.9,nan,<=(1sig),18.5,nan,<=(1sig),12.53,nan,<=(1sig),11.5,nan,<=(1sig),11.84,nan,,nan,nan,,nan,nan,<=(1sig),18.0,nan,<=(1sig),12.31,nan,,nan,nan,,nan,nan,<=(1sig),24.5,nan,<=(1sig),12.78,nan,,nan,nan,,nan,nan
